time,latitude,longitude,speed,direction,date,magnetic declination,status,facing,facing2,sys_timestamp
071908.10,3106.79433614,10345.46859254,0.006,345.6,090925,2.0,A,North,East,1757402347.6664224
071908.20,3106.79433635,10345.46859235,0.010,346.2,090925,2.0,A,North,East,1757402347.7736351
071908.30,3106.79433655,10345.46859221,0.010,353.9,090925,2.0,A,North,East,1757402347.8645704
071908.40,3106.79433675,10345.46859216,0.009,31.7,090925,2.0,A,North,East,1757402347.973252
071908.50,3106.79433706,10345.46859206,0.009,46.3,090925,2.0,A,North,East,1757402348.0671995
071908.60,3106.79433737,10345.46859188,0.007,24.8,090925,2.0,A,North,East,1757402348.1682155
071908.70,3106.79433752,10345.46859175,0.004,7.0,090925,2.0,A,North,East,1757402348.2735252
071908.80,3106.79433783,10345.46859146,0.003,1.1,090925,2.0,A,North,East,1757402348.39053
071908.90,3106.79433819,10345.46859115,0.004,348.9,090925,2.0,A,North,East,1757402348.4720497
071909.00,3106.79433863,10345.46859080,0.010,342.8,090925,2.0,A,North,East,1757402348.5701616
071909.10,3106.79433908,10345.46859044,0.008,356.0,090925,2.0,A,North,East,1757402348.6649237
071909.20,3106.79433941,10345.46859012,0.006,334.0,090925,2.0,A,North,East,1757402348.7657003
071909.30,3106.79433970,10345.46858984,0.002,9.9,090925,2.0,A,North,East,1757402348.8679597
071909.40,3106.79434001,10345.46858958,0.004,20.8,090925,2.0,A,North,East,1757402348.9645875
071909.50,3106.79434036,10345.46858935,0.006,35.7,090925,2.0,A,North,East,1757402349.0647545
071909.60,3106.79434070,10345.46858911,0.006,17.2,090925,2.0,A,North,East,1757402349.163274
071909.70,3106.79434107,10345.46858887,0.007,20.2,090925,2.0,A,North,East,1757402349.265757
071909.80,3106.79434149,10345.46858858,0.009,2.1,090925,2.0,A,North,East,1757402349.3727357
071909.90,3106.79434193,10345.46858831,0.010,8.0,090925,2.0,A,North,East,1757402349.4659133
071910.00,3106.79434235,10345.46858805,0.010,9.1,090925,2.0,A,North,East,1757402349.5647695
071910.10,3106.79434276,10345.46858778,0.008,11.4,090925,2.0,A,North,East,1757402349.6660287
071910.20,3106.79434317,10345.46858752,0.007,19.0,090925,2.0,A,North,East,1757402349.7722723
071910.30,3106.79434362,10345.46858725,0.007,29.0,090925,2.0,A,North,East,1757402349.865729
071910.40,3106.79434405,10345.46858700,0.007,33.6,090925,2.0,A,North,East,1757402349.9738605
071910.50,3106.79434446,10345.46858679,0.009,35.5,090925,2.0,A,North,East,1757402350.0666883
071910.60,3106.79434489,10345.46858658,0.009,33.9,090925,2.0,A,North,East,1757402350.1645358
071910.70,3106.79434533,10345.46858636,0.008,33.2,090925,2.0,A,North,East,1757402350.269021
071910.80,3106.79434577,10345.46858613,0.008,32.8,090925,2.0,A,North,East,1757402350.369094
071910.90,3106.79434619,10345.46858591,0.007,38.9,090925,2.0,A,North,East,1757402350.4706728
071911.00,3106.79434660,10345.46858567,0.006,39.8,090925,2.0,A,North,East,1757402350.5708182
071911.10,3106.79434700,10345.46858544,0.006,40.6,090925,2.0,A,North,East,1757402350.6652946
071911.20,3106.79434738,10345.46858521,0.006,37.7,090925,2.0,A,North,East,1757402350.7635798
071911.30,3106.79434793,10345.46858485,0.006,33.4,090925,2.0,A,North,East,1757402350.878032
